#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-14T17:12:51 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-14T17:12:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-out.src=VII/192/arpord,VII/192/arplist&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-x.rs=10&-source=VII/192/arpord VII/192/arplist&-out=Arp&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Size&-out=Orient&-out=fl_245&-out=fl_ST6&-out=fl_ST5&-out=APG&-out=Simbad&-out=NED&-out=VT&-out=u_VT&-out=dim1&-out=dim2&-out=u_dim2&-out=MType&-out=Uchart&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_7192
#Name: VII/192
#Title: Arp's Peculiar Galaxies (Webb 1996)
#INFO	ivoid=ivo://cds.vizier/vii/192	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/192	    IVOID of underlying data collection
#INFO	creator=Webb D.	    First author or institution
#INFO	cites=bibcode:1996S&T....92...92W	    Article or Data origin sources
#INFO	journal=S&T	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/192	    Dataset landing page
#INFO	publication_date=2017-10-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_192_arpord:
#Name: VII/192/arpord
#Title: list of Arp views with imaging data
#Column	Arp	(I3)	Arp number from original catalog	[ucd=meta.id;meta.main]
#Column	Name	(a17)	Common name (group or brightest)	[ucd=meta.id]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A8)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Size	(F4.1)	Long dimension of Arp's original photo	[ucd=phys.angSize]
#Column	Orient	(A1)	[N,S,E,W,?] Orientation of Arp photo	[ucd=meta.note]
#Column	fl_245	(I3)	?Focal length for CB245 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	fl_ST6	(I3)	?Focal length for SBIG ST6 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	fl_ST5	(I3)	?Focal length for SBIG ST5 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	APG	(A3)	Values from the original Arp's catalog of Peculiar Galaxies (Arp 1966, Cat. VII/74)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
Arp|Name|RAJ2000|DEJ2000|Size|Orient|fl_245|fl_ST6|fl_ST5|APG|Simbad|NED
 32|UGC 10770        |17 13 08|+59 19.4| 2.1|N|420|560|210|APG|Simbad|NED
 33|UGC 08613        |13 37 24|+06 26.2| 3.5|E|252|336|126|APG|Simbad|NED
 34|NGC 4615+13+14   |12 41 37|+26 04.3| 5.2|W|168|224| 84|APG|Simbad|NED
 35|UGC 00212 +comp  |00 22 23|-01 18.2| 5.2|S|168|224| 84|APG|Simbad|NED
 36|UGC 08548        |13 34 15|+31 25.5| 2.6|N|336|448|168|APG|Simbad|NED
 37|MESSIER 77       |02 42 41|+00 00.8| 3.5|E|252|336|126|APG|Simbad|NED
 38|NGC 6412         |17 29 36|+75 42.3| 3.5|N|252|336|126|APG|Simbad|NED
 39|NGC 1347         |03 29 42|-22 16.7| 3.5|E|252|336|126|APG|Simbad|NED
 40|IC 4271          |13 29 20|+37 24.5| 2.1|E|420|560|210|APG|Simbad|NED
 41|NGC 1232 + A     |03 09 46|-20 34.7|10.4|E| 84|112| 42|APG|Simbad|NED
 42|NGC 5829+IC4526  |15 02 42|+23 19.9| 3.5|N|252|336|126|APG|Simbad|NED
 43|IC 0607          |10 24 16|+16 44.6| 2.6|E|336|448|168|APG|Simbad|NED
 44|IC 0609          |10 25 33|-02 13.3| 3.5|S|252|336|126|APG|Simbad|NED
 45|UGC 09178        |14 19 51|+51 54.3| 2.6|E|336|448|168|APG|Simbad|NED
 46|UGC 12665        |23 33 41|+30 02.6| 2.1|N|420|560|210|APG|Simbad|NED
 47|CGCG 105-026     |14 47 13|+18 51.5| 2.6|N|336|448|168|APG|Simbad|NED
 48|CGCG 436-026     |01 19 56|+12 20.7| 2.1|W|420|560|210|APG|Simbad|NED
 49|NGC 5665         |14 32 26|+08 04.8| 2.6|E|336|448|168|APG|Simbad|NED
 50|IC 1520          |23 57 58|-14 01.8| 2.1|E|420|560|210|APG|Simbad|NED
 51|MCG-02-01-24     |00 06 17|-13 26.9| 2.1|N|420|560|210|APG|Simbad|NED
 52|CGCG 421-027     |05 19 44|+03 43.0| 2.1|N|420|560|210|APG|Simbad|NED
 53|NGC 3290         |10 35 17|-17 16.5| 2.6|W|336|448|168|APG|Simbad|NED
 54|MCG-01-07-007    |02 24 02|-04 41.6| 2.6|N|336|448|168|APG|Simbad|NED
 55|UGC 04881        |09 15 56|+44 19.9| 2.6|?|336|448|168|APG|Simbad|NED
 56|UGC 01432        |01 57 26|+17 13.0| 2.1|W|420|560|210|APG|Simbad|NED
 57|MCG+03-34-012    |13 16 40|+14 26.2| 2.6|E|336|448|168|APG|Simbad|NED
 58|UGC 04457        |08 31 58|+19 12.8| 2.6|S|336|448|168|APG|Simbad|NED
 59|NGC 0341         |01 00 46|-09 11.1| 2.6|S|336|448|168|APG|Simbad|NED
 60|ARP 060          |13 14 47|+26 05.1| 2.1|W|420|560|210|APG|Simbad|NED
 61|UGC 03104        |04 36 42|-02 17.2| 2.1|W|420|560|210|APG|Simbad|NED
 62|UGC 06865        |11 53 36|+43 27.3| 2.1|S|420|560|210|APG|Simbad|NED
 63|NGC 2944         |09 39 17|+32 18.6| 2.1|W|420|560|210|APG|Simbad|NED
 64|UGC 09503        |14 45 26|+19 27.9| 2.6|W|336|448|168|APG|Simbad|NED
 65|NGC 0091         |00 21 52|+22 24.0| 5.2|E|168|224| 84|APG|Simbad|NED
 66|UGC 10396        |16 26 53|+51 33.3| 2.6|N|336|448|168|APG|Simbad|NED
 67|UGC 00892        |01 21 17|-00 32.7| 2.6|S|336|448|168|APG|Simbad|NED
 68|NGC 7757(56?)    |23 48 45|+04 10.4| 3.5|W|252|336|126|APG|Simbad|NED
 69|NGC 5579 + 80    |14 20 26|+35 11.3| 2.6|S|336|448|168|APG|Simbad|NED
 70|UGC 00934        |01 23 28|+30 47.1| 2.6|S|336|448|168|APG|Simbad|NED
 71|NGC 6045         |16 05 08|+17 45.4| 2.1|E|420|560|210|APG|Simbad|NED
 72|NGC 5994 + 96    |15 46 53|+17 52.3| 3.5|W|252|336|126|APG|Simbad|NED
 73|IC 1222          |16 35 09|+46 12.8| 2.6|E|336|448|168|APG|Simbad|NED
 74|UGC 01626        |02 08 22|+41 28.8| 2.6|S|336|448|168|APG|Simbad|NED
 75|NGC 0702         |01 51 19|-04 03.3| 3.5|E|252|336|126|APG|Simbad|NED
 76|MESSIER 90       |12 36 50|+13 09.8|10.4|N| 84|112| 42|APG|Simbad|NED
 77|NGC 1097         |02 46 19|-30 16.5|10.4|W| 84|112| 42|APG|Simbad|NED
 78|NGC 0772 + 770   |01 59 20|+19 00.4|10.4|W| 84|112| 42|APG|Simbad|NED
 79|NGC 5490C        |14 10 07|+17 36.9| 2.1|E|420|560|210|APG|Simbad|NED
 80|NGC 2633         |08 48 07|+74 06.0| 3.5|S|252|336|126|APG|Simbad|NED
 81|NGC 6621 + 22    |18 12 55|+68 21.8| 2.6|S|336|448|168|APG|Simbad|NED
 82|NGC 2535 + 36    |08 11 14|+25 12.4| 5.2|S|168|224| 84|APG|Simbad|NED
 83|NGC 3800 + 3799  |11 40 13|+15 20.6| 3.5|W|252|336|126|APG|Simbad|NED
 84|NGC 5395 + 94    |13 58 38|+37 25.5| 5.2|N|168|224| 84|APG|Simbad|NED
 85|MESSIER 51       |13 29 52|+47 11.9|21.8|N| 40| 54| 20|APG|Simbad|NED
 86|NGC 7753 + 52    |23 47 05|+29 29.0| 5.2|W|168|224| 84|APG|Simbad|NED
 87|NGC 3808 + A     |11 40 44|+22 25.7| 3.5|N|252|336|126|APG|Simbad|NED
 88|VV 445           |01 19 05|+12 28.7| 2.1|E|420|560|210|APG|Simbad|NED
 89|NGC 2648 + comp  |08 42 40|+14 17.1| 5.2|S|168|224| 84|APG|Simbad|NED
 90|NGC 5930 + 29    |15 26 08|+41 40.5| 2.6|S|336|448|168|APG|Simbad|NED
 91|NGC 5953 + 54    |15 34 32|+15 11.7| 2.6|N|336|448|168|APG|Simbad|NED
 92|NGC 7603 + comp  |23 18 56|+00 14.6| 2.6|N|336|448|168|APG|Simbad|NED
 93|NGC 7284 + 85    |22 28 36|-24 50.6| 5.2|N|168|224| 84|APG|Simbad|NED
 94|NGC 3226 + 27    |10 23 27|+19 53.9|10.4|N| 84|112| 42|APG|Simbad|NED
 95|IC 4461 + 62     |14 35 02|+26 32.6| 2.6|N|336|448|168|APG|Simbad|NED
 96|UGC 03528A       |07 03 01|+86 36.2| 3.5|E|252|336|126|APG|Simbad|NED
 97|UGC 07085A       |12 05 46|+31 03.6| 2.6|N|336|448|168|APG|Simbad|NED
 98|UGC 01095 +comp  |01 32 17|+32 05.4| 2.6|W|336|448|168|APG|Simbad|NED
 99|NGC 7550 + 49    |23 15 16|+18 57.7|10.4|S| 84|112| 42|APG|Simbad|NED
100|IC 0018 + 19     |00 28 38|-11 34.4|10.4|S| 84|112| 42|APG|Simbad|NED
101|UGC 10169 + 164  |16 04 32|+14 49.1| 5.2|S|168|224| 84|APG|Simbad|NED
102|UGC 10814        |17 19 14|+48 58.8|10.4|S| 84|112| 42|APG|Simbad|NED
103|UGC 10586        |16 49 26|+45 27.5| 3.5|N|252|336|126|APG|Simbad|NED
104|NGC 5218 + 16    |13 32 11|+62 46.0|10.4|S| 84|112| 42|APG|Simbad|NED
105|NGC 3561A&B      |11 11 13|+28 41.7| 5.2|S|168|224| 84|APG|Simbad|NED
106|NGC 4211 + A     |12 15 36|+28 10.6| 2.6|S|336|448|168|APG|Simbad|NED
107|UGC 05984        |10 52 19|+30 04.0| 3.5|E|252|336|126|APG|Simbad|NED
108|ESO 547-G002&3   |03 03 05|-22 13.0| 2.6|S|336|448|168|APG|Simbad|NED
109|UGC 10053        |15 48 08|+69 27.5| 3.5|E|252|336|126|APG|Simbad|NED
110|MCG-03-58-011    |22 54 09|-15 14.2| 2.1|W|420|560|210|APG|Simbad|NED
111|NGC 5421         |14 01 41|+33 49.7| 2.6|S|336|448|168|APG|Simbad|NED
112|NGC 7805 + 06    |00 01 27|+31 26.0| 3.5|S|252|336|126|APG|Simbad|NED
113|NGC 0070         |00 18 22|+30 04.8| 5.2|N|168|224| 84|APG|Simbad|NED
114|NGC 2300+2276    |07 32 20|+85 42.5|10.4|W| 84|112| 42|APG|Simbad|NED
115|UGC 06678        |11 43 03|+26 16.6| 2.6|S|336|448|168|APG|Simbad|NED
116|MESSIER 60       |12 43 40|+11 33.2|10.4|W| 84|112| 42|APG|Simbad|NED
117|IC 0982 + 983    |14 09 59|+17 41.8| 5.2|S|168|224| 84|APG|Simbad|NED
118|NGC 1144 + 43    |02 55 11|+00 10.6| 2.1|E|420|560|210|APG|Simbad|NED
119|UGC 00849        |01 19 24|+12 26.8| 2.6|S|336|448|168|APG|Simbad|NED
120|NGC 4438         |12 27 46|+13 00.5|10.4|S| 84|112| 42|APG|Simbad|NED
121|MCG-01-03-051    |00 59 23|-04 48.2| 2.6|S|336|448|168|APG|Simbad|NED
122|NGC 6040A + B    |16 04 27|+17 45.0| 2.6|W|336|448|168|APG|Simbad|NED
123|NGC 1888 + 89    |05 22 32|-11 29.7| 3.5|S|252|336|126|APG|Simbad|NED
124|NGC 6361         |17 18 41|+60 36.4| 3.5|E|252|336|126|APG|Simbad|NED
125|UGC 10491        |16 38 14|+41 55.8| 2.1|E|420|560|210|APG|Simbad|NED
126|UGC 01449        |01 58 05|+03 06.0| 2.6|E|336|448|168|APG|Simbad|NED
127|NGC 0191         |00 38 59|-09 00.1| 2.6|E|336|448|168|APG|Simbad|NED
128|UGC 00827        |01 17 25|+14 41.8| 2.1|W|420|560|210|APG|Simbad|NED
129|UGC 05146        |09 39 25|+32 21.7| 2.1|W|420|560|210|APG|Simbad|NED
130|IC 5378          |00 02 38|+16 38.6| 2.6|N|336|448|168|APG|Simbad|NED
131|MCG-03-08-25     |02 47 18|-14 48.1| 2.6|N|336|448|168|APG|Simbad|NED
132|CGCG 011-053     |11 19 21|-03 05.4| 2.1|S|420|560|210|APG|Simbad|NED
133|NGC 0541         |01 25 44|-01 22.8| 2.6|E|336|448|168|APG|Simbad|NED
134|MESSIER 49       |12 29 46|+07 59.8|10.4|S| 84|112| 42|APG|Simbad|NED
135|NGC 1023         |02 40 24|+39 03.8|10.4|E| 84|112| 42|APG|Simbad|NED
136|NGC 5820         |14 58 40|+53 53.2| 3.5|S|252|336|126|APG|Simbad|NED
137|NGC 2914         |09 34 03|+10 06.5| 2.1|N|420|560|210|APG|Simbad|NED
138|NGC 4015         |11 58 43|+25 02.2| 2.1|N|420|560|210|APG|Simbad|NED
139|MCG+05-31-135    |13 07 24|+26 43.1| 2.1|W|420|560|210|APG|Simbad|NED
140|NGC 0275 + 74    |00 51 05|-07 03.8| 2.6|E|336|448|168|APG|Simbad|NED
141|UGC 03730        |07 14 21|+73 28.8| 2.6|S|336|448|168|APG|Simbad|NED
142|NGC 2936 + 37    |09 37 44|+02 45.6| 3.5|N|252|336|126|APG|Simbad|NED
143|NGC 2444         |07 46 53|+39 01.9| 3.5|S|252|336|126|APG|Simbad|NED
144|NGC 7828         |00 06 27|-13 25.0| 2.6|W|336|448|168|APG|Simbad|NED
145|ARP 145          |02 23 08|+41 22.2| 2.6|N|336|448|168|APG|Simbad|NED
146|VV 790           |00 06 44|-06 38.2| 2.1|N|420|560|210|APG|Simbad|NED
147|IC 029  8        |03 11 19|+01 18.8| 2.1|N|420|560|210|APG|Simbad|NED
148|MCG+07-23-019    |11 04 00|+40 50.8| 2.1|W|420|560|210|APG|Simbad|NED
149|IC 0803          |12 39 43|+16 35.5| 2.1|E|420|560|210|APG|Simbad|NED
150|NGC 7609         |23 19 30|+09 30.5| 2.1|E|420|560|210|APG|Simbad|NED
151|MRK 0040         |11 25 36|+54 22.9| 2.1|N|420|560|210|APG|Simbad|NED
152|MESSIER 87       |12 30 49|+12 23.5| 2.6|N|336|448|168|APG|Simbad|NED
153|NGC 5128         |13 25 28|-43 01.1|21.8|W| 40| 54| 20|APG|Simbad|NED
154|NGC 1316         |03 22 41|-37 12.6| 5.2|E|168|224| 84|APG|Simbad|NED
155|NGC 3656         |11 23 38|+53 50.5| 2.6|E|336|448|168|APG|Simbad|NED
156|UGC 05814        |10 42 38|+77 29.7| 2.6|E|336|448|168|APG|Simbad|NED
157|NGC 0520         |01 24 35|+03 47.6|10.4|N| 84|112| 42|APG|Simbad|NED
158|NGC 0523         |01 25 20|+34 01.5| 3.5|E|252|336|126|APG|Simbad|NED
159|NGC 4747         |12 51 46|+25 46.5|10.4|E| 84|112| 42|APG|Simbad|NED
160|NGC 4194         |12 14 10|+54 31.7| 3.5|N|252|336|126|APG|Simbad|NED
161|UGC 06665        |11 42 13|+00 20.0| 2.6|S|336|448|168|APG|Simbad|NED
162|NGC 3414         |10 51 16|+27 58.5| 3.5|N|252|336|126|APG|Simbad|NED
163|NGC 4670         |12 45 17|+27 07.5| 2.1|W|420|560|210|APG|Simbad|NED
164|NGC 0455         |01 15 57|+05 10.7| 3.5|E|252|336|126|APG|Simbad|NED
165|NGC 2418         |07 36 38|+17 53.1| 3.5|N|252|336|126|APG|Simbad|NED
166|NGC 0750 + 51    |01 57 32|+33 12.6| 3.5|N|252|336|126|APG|Simbad|NED
167|NGC 2672         |08 49 22|+19 04.5| 2.6|E|336|448|168|APG|Simbad|NED
168|MESSIER 32       |00 42 42|+40 51.9|16.2|E| 54| 72| 27|APG|Simbad|NED
169|NGC 7236 + 37    |22 14 45|+13 50.8| 3.5|E|252|336|126|APG|Simbad|NED
170|NGC 7578A + B    |23 17 12|+18 42.0| 3.5|N|252|336|126|APG|Simbad|NED
171|NGC 5718         |14 40 43|+03 27.2| 2.6|E|336|448|168|APG|Simbad|NED
172|IC 1178          |16 05 33|+17 36.1| 3.5|S|252|336|126|APG|Simbad|NED
173|UGC 09561        |14 51 26|+09 19.7| 3.5|S|252|336|126|APG|Simbad|NED
174|NGC 3068A        |09 58 40|+28 52.6| 5.2|S|168|224| 84|APG|Simbad|NED
175|IC 3481+A + 83   |12 32 52|+11 24.2|10.4|E| 84|112| 42|APG|Simbad|NED
176|NGC 4933A + B    |13 03 55|-11 30.4| 3.5|W|252|336|126|APG|Simbad|NED
177|MCG+04-35-017    |14 55 49|+24 35.9| 2.1|W|420|560|210|APG|Simbad|NED
178|NGC 5613         |14 24 06|+34 53.5| 3.5|N|252|336|126|APG|Simbad|NED
179|NPM1G -04.0134   |03 01 41|-04 40.3| 2.1|W|420|560|210|APG|Simbad|NED
180|MCG-01-13-034    |04 53 22|-04 48.1| 2.6|S|336|448|168|APG|Simbad|NED
181|NGC 3212         |10 28 17|+79 49.4| 3.5|W|252|336|126|APG|Simbad|NED
182|NGC 7674         |23 27 57|+08 46.7| 3.5|E|252|336|126|APG|Simbad|NED
183|UGC 08560        |13 34 55|+31 23.5| 3.5|E|252|336|126|APG|Simbad|NED
184|NGC 1961         |05 42 04|+69 22.8|10.4|W| 84|112| 42|APG|Simbad|NED
185|NGC 6217         |16 32 40|+78 11.9| 5.2|W|168|224| 84|APG|Simbad|NED
186|NGC 1614         |04 34 00|-08 34.7| 2.6|S|336|448|168|APG|Simbad|NED
187|MCG-02-13-040A   |05 04 53|-10 14.9| 2.1|S|420|560|210|APG|Simbad|NED
188|UGC 10214        |16 06 04|+55 25.3| 5.2|E|168|224| 84|APG|Simbad|NED
189|NGC 4651         |12 43 43|+16 23.7|10.4|E| 84|112| 42|APG|Simbad|NED
190|UGC 02320        |02 50 20|+12 53.3| 5.2|N|168|224| 84|APG|Simbad|NED
191|UGC 06175        |11 07 20|+18 25.9| 2.6|E|336|448|168|APG|Simbad|NED
192|NGC 3303         |10 36 59|+18 08.2| 3.5|N|252|336|126|APG|Simbad|NED
193|IC 0883          |13 20 35|+34 08.3| 2.6|S|336|448|168|APG|Simbad|NED
194|UGC 06945        |11 57 53|+36 23.3| 2.6|N|336|448|168|APG|Simbad|NED
195|UGC 04653        |08 53 50|+35 08.6| 2.6|W|336|448|168|APG|Simbad|NED
196|Herzog 21        |13 14 38|+26 07.4| 2.1|N|420|560|210|APG|Simbad|NED
197|IC 0701          |11 31 01|+20 28.2| 2.6|E|336|448|168|APG|Simbad|NED
198|UGC 06073        |10 59 46|+17 38.9| 2.6|W|336|448|168|APG|Simbad|NED
199|NGC 5544 + 45    |14 17 02|+36 34.3| 2.1|E|420|560|210|APG|Simbad|NED
200|NGC 1134         |02 53 41|+13 00.9| 3.5|S|252|336|126|APG|Simbad|NED
201|UGC 00224        |00 23 34|-00 29.4| 2.1|N|420|560|210|APG|Simbad|NED
202|NGC 2719 + A     |09 00 16|+35 43.6| 3.5|W|252|336|126|APG|Simbad|NED
203|NGC 3712         |11 31 09|+28 34.0| 3.5|N|252|336|126|APG|Simbad|NED
204|UGC 08454        |13 22 50|+84 30.4| 2.6|E|336|448|168|APG|Simbad|NED
205|NGC 3448         |10 54 39|+54 18.4|10.4|E| 84|112| 42|APG|Simbad|NED
206|NGC 3432         |10 52 31|+36 37.2|10.4|N| 84|112| 42|APG|Simbad|NED
207|UGC 05050        |09 31 07|+76 27.9| 2.1|S|420|560|210|APG|Simbad|NED
208|MCG+08-31-010    |16 51 03|+47 13.2| 2.6|E|336|448|168|APG|Simbad|NED
209|NGC 6052         |16 05 13|+20 32.5| 2.1|W|420|560|210|APG|Simbad|NED
210|NGC 1569         |04 30 49|+64 50.9| 3.5|W|252|336|126|APG|Simbad|NED
211|MCG+07-26-034    |12 37 19|+38 43.5| 2.1|E|420|560|210|APG|Simbad|NED
212|NGC 7625         |23 20 30|+17 13.5| 2.6| |336|448|168|APG|Simbad|NED
213|IC 0356          |04 07 47|+69 48.8| 5.2|W|168|224| 84|APG|Simbad|NED
214|NGC 3718         |11 32 35|+53 04.0|10.4|S| 84|112| 42|APG|Simbad|NED
215|NGC 2782         |09 14 05|+40 06.8| 5.2|E|168|224| 84|APG|Simbad|NED
216|NGC 7679 + 82    |23 28 47|+03 30.7|10.4|E| 84|112| 42|APG|Simbad|NED
217|NGC 3310         |10 38 46|+53 30.1|10.4|W| 84|112| 42|APG|Simbad|NED
218|CGCG 107-052     |15 53 32|+18 36.2| 2.1|N|420|560|210|APG|Simbad|NED
219|UGC 02812        |03 39 42|-02 06.8| 2.1|S|420|560|210|APG|Simbad|NED
